QP/JOB ROLE NAME,EMBEDDING_PATH
Telecom Surface Mount Technology (SMT) Technician,./utils/embeddings/PMKVY_JobRoles/data/Telecom Surface Mount Technology (SMT) Technician.pt
Telecom Technician - IOT Devices-System,./utils/embeddings/PMKVY_JobRoles/data/Telecom Technician - IOT Devices-System.pt
Telecom Terminal Equipment Application Developer (Android),./utils/embeddings/PMKVY_JobRoles/data/Telecom Terminal Equipment Application Developer (Android).pt
Telehealth Services Coordinator,./utils/embeddings/PMKVY_JobRoles/data/Telehealth Services Coordinator.pt
Testing and Calibration Technician (Electrotechnical),./utils/embeddings/PMKVY_JobRoles/data/Testing and Calibration Technician (Electrotechnical).pt
Testing and Calibration Technician (Mechanical-Dimensions),./utils/embeddings/PMKVY_JobRoles/data/Testing and Calibration Technician (Mechanical-Dimensions).pt
Textile Dyeing Machine Operator- Jigger,./utils/embeddings/PMKVY_JobRoles/data/Textile Dyeing Machine Operator- Jigger.pt
Textile Finishing Machine Operator- Stenter,./utils/embeddings/PMKVY_JobRoles/data/Textile Finishing Machine Operator- Stenter.pt
Textile Post Processing Machine Operator- Washing Range,./utils/embeddings/PMKVY_JobRoles/data/Textile Post Processing Machine Operator- Washing Range.pt
Textile Printing Machine Operator- Printing Screen Making,./utils/embeddings/PMKVY_JobRoles/data/Textile Printing Machine Operator- Printing Screen Making.pt
Textile Processing Preparatory Operator- Singeing & Desizing,./utils/embeddings/PMKVY_JobRoles/data/Textile Processing Preparatory Operator- Singeing & Desizing.pt
TFO Tenter,./utils/embeddings/PMKVY_JobRoles/data/TFO Tenter.pt
Through Hole Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Through Hole Assembly Operator.pt
Tower Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/Tower Crane Operator.pt
Tower Technician,./utils/embeddings/PMKVY_JobRoles/data/Tower Technician.pt
Tractor Service Mechanic,./utils/embeddings/PMKVY_JobRoles/data/Tractor Service Mechanic.pt
Traditional Hand Embroiderer,./utils/embeddings/PMKVY_JobRoles/data/Traditional Hand Embroiderer.pt
TRAFFIC COORDINATOR (Media Organisations),./utils/embeddings/PMKVY_JobRoles/data/TRAFFIC COORDINATOR (Media Organisations).pt
Transit and Self-Loading Mixer Operator,./utils/embeddings/PMKVY_JobRoles/data/Transit and Self-Loading Mixer Operator.pt
Transplant Coordinator,./utils/embeddings/PMKVY_JobRoles/data/Transplant Coordinator.pt
Transport Consolidator,./utils/embeddings/PMKVY_JobRoles/data/Transport Consolidator.pt
Transport Coordinator,./utils/embeddings/PMKVY_JobRoles/data/Transport Coordinator.pt
TV Repair Technician,./utils/embeddings/PMKVY_JobRoles/data/TV Repair Technician.pt
Twister cum Doubler - Handloom,./utils/embeddings/PMKVY_JobRoles/data/Twister cum Doubler - Handloom.pt
Two Shaft Handloom Weaver,./utils/embeddings/PMKVY_JobRoles/data/Two Shaft Handloom Weaver.pt
Two Wheeler Service Assistant,./utils/embeddings/PMKVY_JobRoles/data/Two Wheeler Service Assistant.pt
Two Wheeler Service Technician,./utils/embeddings/PMKVY_JobRoles/data/Two Wheeler Service Technician.pt
Tyre Building Operator- Radial Light truck,./utils/embeddings/PMKVY_JobRoles/data/Tyre Building Operator- Radial Light truck.pt
Tyre Building Operator- Truck and Bus (Bias Tyre),./utils/embeddings/PMKVY_JobRoles/data/Tyre Building Operator- Truck and Bus (Bias Tyre).pt
Tyre Fitter-Servicing and Maintenance,./utils/embeddings/PMKVY_JobRoles/data/Tyre Fitter-Servicing and Maintenance.pt
Tyre Mounted Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/Tyre Mounted Crane Operator.pt
Upcycling Scraps and E-waste Artisan,./utils/embeddings/PMKVY_JobRoles/data/Upcycling Scraps and E-waste Artisan.pt
User Experience Designer,./utils/embeddings/PMKVY_JobRoles/data/User Experience Designer.pt
Video Blogger,./utils/embeddings/PMKVY_JobRoles/data/Video Blogger.pt
Village Level Milk Collection Center Incharge,./utils/embeddings/PMKVY_JobRoles/data/Village Level Milk Collection Center Incharge.pt
VLSI Design Engineer,./utils/embeddings/PMKVY_JobRoles/data/VLSI Design Engineer.pt
Voice-Over Artist,./utils/embeddings/PMKVY_JobRoles/data/Voice-Over Artist.pt
Vriksh Sanrakshak,./utils/embeddings/PMKVY_JobRoles/data/Vriksh Sanrakshak.pt
Wafer Back Grinding Engineer,./utils/embeddings/PMKVY_JobRoles/data/Wafer Back Grinding Engineer.pt
Wafer Dicing Engineer,./utils/embeddings/PMKVY_JobRoles/data/Wafer Dicing Engineer.pt
Wafer Test and Sort Engineer,./utils/embeddings/PMKVY_JobRoles/data/Wafer Test and Sort Engineer.pt
Walk Tour Facilitator,./utils/embeddings/PMKVY_JobRoles/data/Walk Tour Facilitator.pt
Warehouse Associate,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Associate.pt
Warehouse Binner,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Binner.pt
Warehouse Claims Coordinator,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Claims Coordinator.pt
Warehouse Executive,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Executive.pt
Warehouse Manager,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Manager.pt
Warehouse Packer,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Packer.pt
Warehouse Picker,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Picker.pt
Warehouse Quality Checker,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Quality Checker.pt
Warehouse Supervisor,./utils/embeddings/PMKVY_JobRoles/data/Warehouse Supervisor.pt
Warper - Direct Warping Machine,./utils/embeddings/PMKVY_JobRoles/data/Warper - Direct Warping Machine.pt
Warper - Handloom,./utils/embeddings/PMKVY_JobRoles/data/Warper - Handloom.pt
Washing Machine Operator,./utils/embeddings/PMKVY_JobRoles/data/Washing Machine Operator.pt
Water Pump Operator,./utils/embeddings/PMKVY_JobRoles/data/Water Pump Operator.pt
Wax setter,./utils/embeddings/PMKVY_JobRoles/data/Wax setter.pt
Web Developer,./utils/embeddings/PMKVY_JobRoles/data/Web Developer.pt
Welder (GTAW),./utils/embeddings/PMKVY_JobRoles/data/Welder (GTAW).pt
Welding Operator Electronics,./utils/embeddings/PMKVY_JobRoles/data/Welding Operator Electronics.pt
Wellness Neurotherapist,./utils/embeddings/PMKVY_JobRoles/data/Wellness Neurotherapist.pt
Wheel Loader Operator,./utils/embeddings/PMKVY_JobRoles/data/Wheel Loader Operator.pt
Wind Resource Assessor and Site Surveyor - Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/Wind Resource Assessor and Site Surveyor - Wind Power Plant.pt
Winding Operator (Electronics SSC),./utils/embeddings/PMKVY_JobRoles/data/Winding Operator (Electronics SSC).pt
Winding Operator (Mining SSC),./utils/embeddings/PMKVY_JobRoles/data/Winding Operator (Mining SSC).pt
Winding Tenter- Autoconer,./utils/embeddings/PMKVY_JobRoles/data/Winding Tenter- Autoconer.pt
Wire Saw Operator,./utils/embeddings/PMKVY_JobRoles/data/Wire Saw Operator.pt
Wireless Technician,./utils/embeddings/PMKVY_JobRoles/data/Wireless Technician.pt
Wireman Control Panel Electronics,./utils/embeddings/PMKVY_JobRoles/data/Wireman Control Panel Electronics.pt
Wiring Harness Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Wiring Harness Assembly Operator.pt
Wooden Toy Maker-Artisan,./utils/embeddings/PMKVY_JobRoles/data/Wooden Toy Maker-Artisan.pt
Yoga Instructor (B&W),./utils/embeddings/PMKVY_JobRoles/data/Yoga Instructor (B&W).pt
Yoga Trainer (B&W),./utils/embeddings/PMKVY_JobRoles/data/Yoga Trainer (B&W).pt
Yoga Wellness Trainer,./utils/embeddings/PMKVY_JobRoles/data/Yoga Wellness Trainer.pt
